Timestamp;G19 KWh-Dif;G26 kWh-Diff;MISFAT 3 Compresseur 3 KWh-Dif;MISFAT 3 G39 KWh-Diff;MISFAT 3 D18 KWh-Diff;MISFAT 3 G10 KWh-Diff;MISFAT 3 TGBT N°3 KWh-Diff;MISFAT 3 Eclairage 3-2 KWh-Dif
2024-09-01 00:00:00 CEST;"0;1328125";"4;375";"7;0625";0,0kWh;0,0kWh;0,0kWh;"156;5";0,0kWh
2024-09-01 01:00:00 CEST;"0;13671875";4,0kWh;"7;03125";0,0kWh;0,0kWh;0,0kWh;"154;5";0,0kWh
2024-09-01 02:00:00 CEST;"0;13671875";"4;5";"6;96875";0,0kWh;0,0kWh;0,0kWh;"156;5";0,0kWh
2024-09-01 03:00:00 CEST;"0;13671875";"4;5";"7;15625";0,0kWh;0,0kWh;0,0kWh;"154;5";0,0kWh
2024-09-01 04:00:00 CEST;"0;13671875";"4;5";"6;8125";0,0kWh;0,0kWh;0,0kWh;"156;5";0,0kWh
2024-09-01 05:00:00 CEST;"0;13671875";"4;625";"7;0625";0,0kWh;0,0kWh;0,0kWh;"152;5";0,0kWh
2024-09-01 06:00:00 CEST;"45;75390625";"7;25";"38;71875";"0;53125";0,0kWh;0,0kWh;"328;5";0,0kWh
2024-09-01 07:00:00 CEST;"92;09765625";"19;75";"71;65625";"41;828125";0,0kWh;0,0kWh;"544;5";0,0kWh
2024-09-01 08:00:00 CEST;"13;43359375";"36;5";"71;28125";"38;203125";0,0kWh;0,0kWh;"580;5";0,0kWh
2024-09-01 09:00:00 CEST;"4;32421875";"33;75";"69;25";"40;828125";0,0kWh;0,0kWh;"566;5";0,0kWh
2024-09-01 10:00:00 CEST;"2;76953125";"35;875";"58;125";"37;96875";0,0kWh;0,0kWh;"522;5";0,0kWh
2024-09-01 11:00:00 CEST;"0;66796875";25,0kWh;"57;75";"21;671875";0,0kWh;0,0kWh;"480;5";0,0kWh
2024-09-01 12:00:00 CEST;"0;15234375";"14;125";"50;1875";0,0kWh;0,0kWh;0,0kWh;"348;5";0,0kWh
2024-09-01 13:00:00 CEST;"0;1484375";"17;25";"38;09375";0,0kWh;0,0kWh;0,0kWh;"270;5";0,0kWh
2024-09-01 14:00:00 CEST;"0;1484375";"12;875";"38;875";0,0kWh;0,0kWh;0,0kWh;"230;5";0,0kWh
2024-09-01 15:00:00 CEST;"0;1484375";"10;75";"38;46875";0,0kWh;0,0kWh;0,0kWh;"220;5";0,0kWh
2024-09-01 16:00:00 CEST;"0;1484375";"9;25";"37;8125";0,0kWh;0,0kWh;0,0kWh;"216;5";0,0kWh
2024-09-01 17:00:00 CEST;"0;1484375";"8;5";"37;8125";0,0kWh;0,0kWh;0,0kWh;"210;5";0,0kWh
2024-09-01 18:00:00 CEST;"0;15234375";"7;875";"38;25";0,0kWh;0,0kWh;0,0kWh;"198;5";0,0kWh
2024-09-01 19:00:00 CEST;"0;1484375";8,0kWh;"38;53125";0,0kWh;0,0kWh;0,0kWh;"182;5";0,0kWh
2024-09-01 20:00:00 CEST;"0;15234375";"7;75";"32;59375";0,0kWh;0,0kWh;0,0kWh;"172;5";0,0kWh
2024-09-01 21:00:00 CEST;"0;15234375";"8;125";"6;9375";0,0kWh;0,0kWh;0,0kWh;"134;5";0,0kWh
2024-09-01 22:00:00 CEST;"0;15234375";"7;875";"7;09375";0,0kWh;0,0kWh;0,0kWh;"126;5";0,0kWh
2024-09-01 23:00:00 CEST;"0;02734375";"1;625";"1;375";0,0kWh;0,0kWh;0,0kWh;"78;5";0,0kWh
2024-09-02 00:00:00 CEST;"0;15234375";"8;25";"6;75";0,0kWh;0,0kWh;0,0kWh;"122;5";0,0kWh
2024-09-02 01:00:00 CEST;"0;15625";"8;75";"7;0625";0,0kWh;0,0kWh;0,0kWh;"124;5";0,0kWh
2024-09-02 02:00:00 CEST;"0;15625";"8;5";7,0kWh;0,0kWh;0,0kWh;0,0kWh;"126;5";0,0kWh
2024-09-02 03:00:00 CEST;"0;15625";"8;5";"6;875";0,0kWh;0,0kWh;0,0kWh;"124;5";0,0kWh
2024-09-02 04:00:00 CEST;"0;15625";"8;875";"7;0625";0,0kWh;0,0kWh;0,0kWh;"124;5";0,0kWh
2024-09-02 05:00:00 CEST;"0;15625";"8;625";"6;875";0,0kWh;0,0kWh;0,0kWh;"130;5";0,0kWh
2024-09-02 06:00:00 CEST;"5;91015625";12,0kWh;"45;15625";"12;828125";0,0kWh;0,0kWh;"444;5";0,0kWh
2024-09-02 07:00:00 CEST;"100;37109375";"86;625";"81;90625";"40;53125";"38;4375";0,0kWh;"996;5";0,0kWh
2024-09-02 08:00:00 CEST;"71;90625";"79;75";"88;9375";"20;765625";"31;75";0,0kWh;"938;5";0,0kWh
2024-09-02 09:00:00 CEST;"95;1484375";"86;75";"86;78125";"40;21875";"31;5";0,0kWh;"1018;5";0,0kWh
